2026-03-25 16:50:37 | INFO | CI | shell=zsh
2026-03-25 16:50:37 | INFO | CI | cwd=notebooks
2026-03-25 16:50:37 | INFO | CI | github_actions=False
2026-03-25 16:50:37 | INFO | CI | Logger configured.
2026-03-25 16:50:39 | INFO | CI | ========================
2026-03-25 16:50:39 | INFO | CI | Notebook executed successfully!
2026-03-25 16:50:39 | INFO | CI | ========================
2026-03-25 16:52:24 | INFO | CI | === RUN START ===
2026-03-25 16:52:24 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-25 16:52:24 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 16:52:24 | INFO | CI | python=3.13.3
2026-03-25 16:52:24 | INFO | CI | os=Darwin 20.6.0
2026-03-25 16:52:24 | INFO | CI | shell=zsh
2026-03-25 16:52:24 | INFO | CI | cwd=notebooks
2026-03-25 16:52:24 | INFO | CI | github_actions=False
2026-03-25 16:52:24 | INFO | CI | Logger configured.
2026-03-25 16:52:25 | INFO | CI | ========================
2026-03-25 16:52:25 | INFO | CI | Notebook executed successfully!
2026-03-25 16:52:25 | INFO | CI | ========================
2026-03-25 17:02:06 | INFO | CI | === RUN START ===
2026-03-25 17:02:06 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-25 17:02:06 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 17:02:06 | INFO | CI | python=3.13.3
2026-03-25 17:02:06 | INFO | CI | os=Darwin 20.6.0
2026-03-25 17:02:06 | INFO | CI | shell=zsh
2026-03-25 17:02:06 | INFO | CI | cwd=notebooks
2026-03-25 17:02:06 | INFO | CI | github_actions=False
2026-03-25 17:02:06 | INFO | CI | Logger configured.
2026-03-25 17:02:07 | INFO | CI | ========================
2026-03-25 17:02:07 | INFO | CI | Notebook executed successfully!
2026-03-25 17:02:07 | INFO | CI | ========================
2026-03-25 17:05:16 | INFO | CI | === RUN START ===
2026-03-25 17:05:16 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-25 17:05:16 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 17:05:16 | INFO | CI | python=3.13.3
2026-03-25 17:05:16 | INFO | CI | os=Darwin 20.6.0
2026-03-25 17:05:16 | INFO | CI | shell=zsh
2026-03-25 17:05:16 | INFO | CI | cwd=notebooks
2026-03-25 17:05:16 | INFO | CI | github_actions=False
2026-03-25 17:05:16 | INFO | CI | Logger configured.
2026-03-25 17:05:17 | INFO | CI | ========================
2026-03-25 17:05:17 | INFO | CI | Notebook executed successfully!
2026-03-25 17:05:17 | INFO | CI | ========================
